State,% Change Working in County of Residence,% Change Working Outside County of Residence,% Change Working in State of Residence,% Change Working Outside State of Residence
AL,-0.3615336536292424,0.10563939876899742,-0.1800997960006434,2.356607146605505
AK,-3.8573213779600435,15.046944016099385,-0.44328660860204483,85.90339660198264
AZ,0.5663630102146433,-3.0970738945164333,0.24372203250742075,-9.117829959199907
AR,-1.4123972267868101,5.577213055794705,1.3278866187012905,-18.828229300854403
CA,-0.4876638055181126,1.4209515224080649,0.06864362729417373,-9.631632685261394
CO,1.062215453883275,-0.30684776963089133,0.37075275288265264,-14.120872632277903
CT,-2.5290421004066754,-7.378122136314735,-4.183990384020076,26.17800344696488
DE,-4.464835880863882,5.600517073336464,-3.1128757771034965,9.527094887545463
DC,1.904063199004291,,1.904063199004291,-3.5605353598074485
FL,-1.3054295268353444,3.5854875207494086,0.06760474504339253,-3.021869650962905
GA,-1.1114001721776678,1.4806820396259246,0.38192884914627356,-8.0752532708545
HI,-0.16812615734090874,20.27668676819756,-0.037957084039974553,7.555159931927058
ID,2.041346321805637,-7.649111574945766,-0.9499933416534212,10.172667249720813
IL,1.8643100423993086,-3.5564286957820213,-0.11741797080641048,2.237378832030812
IN,1.2033770362201324,1.237352336194153,1.2186728382155954,-9.639533296040813
IA,0.034507337585121256,3.1293410788427733,1.2296256937836203,-13.426224964413613
KS,-3.4021855325561345,3.8903839742076896,-1.0432632771289807,7.274043683427633
KY,-4.096216899407812,2.624864026039786,-1.1842099304137266,9.517561985791524
LA,1.237165936549811,-1.859295367768965,-0.21600323341990357,4.183250661422155
ME,1.3728006122443626,-1.728941335510037,0.2965529837965386,-3.4715071551671195
MD,4.244317803054232,0.29562913997012163,2.20510330362087,-5.443019497742185
MA,1.284551008065793,0.44414124906739794,0.8722737092931254,-13.962457073240264
MI,0.09017626894387565,1.3783194098683893,0.669678045181632,-18.290442880417103
MN,0.4273126895073531,-0.12117129059217024,0.13829253554984433,-3.3615639190982205
MS,-2.6581752380090196,0.5898698084797704,-1.0986793430825315,6.354865095607054
MO,1.8420922646348314,-2.8853188019092646,-0.41854592485190967,4.181133451301311
MT,-1.2062701459966685,9.483404800305205,0.8474049262910288,-17.016871897673703
NE,2.25641095668474,-1.3607559175815465,0.9990978268468842,-16.475592064343648
NV,-1.0435626835095024,8.46668543112974,-0.4691234907363451,12.066325599351945
NH,-4.057898678078264,4.006348796483095,-0.9802913746523534,2.6218166135777654
NJ,-3.5166662640315094,-1.3933800792611084,-2.349082429741045,6.523192177900405
NM,0.6777753206214765,-5.201299366460099,-0.754324593576472,10.629961511359465
NY,1.223572411586149,0.8939138507912503,1.0494943244514943,-22.28588016422819
NC,-3.0836661186296355,3.9582748933895795,-0.19203677079950854,3.6948885013678323
ND,-2.3628955925336093,8.249045774447627,0.44733404199721605,-6.571703428699238
OH,-1.298900693943017,1.2923015600784904,-0.19787504352909435,3.95659764666918
OK,-2.382133296932143,5.00308230732045,0.45539385416804024,-8.32808692344339
OR,-0.8315318082231848,3.354194305197966,0.6458529294676829,-16.016150118192463
PA,-0.7339449738794412,3.103418613213993,0.7719143625860347,-6.229920448805782
RI,-5.0936748245661185,-5.360414783914358,-5.194384363707494,15.047227412225173
SC,-2.80724969467121,-0.35052658990489816,-1.8594761995480935,20.550859603871395
SD,-6.250265754744144,15.042116344421741,0.599112060827145,-9.072962191553602
TN,-3.072484076862314,6.9875123721316434,0.9656798247490883,-13.750939889895319
TX,-2.9542989260167296,6.060184094669063,0.10692987291096578,-5.450093290716218
UT,1.0594168177405106,0.5057081930285756,0.8878210535188336,-28.883170741287366
VT,-0.978994899985286,-1.4652551261820301,-1.1459847364205356,9.774040523134953
VA,0.9092065668034,1.617332323127818,1.3533549605424744,-7.080877378184535
WA,0.7973112651828984,1.4807250992976417,0.9912956546703766,-17.45013871682185
WV,-0.6066502911535432,-6.033639650119849,-2.883695648055651,10.581967018696314
WI,2.083067910722547,-0.8582085609641354,0.8527759894911835,-9.737996218635981
WY,3.8001575231221274,-11.224688806493843,0.8039581018566055,-8.408582460165338
